08:59:22- Epoch 1/37, Loss: 23.2432, Accuracy: 0.8940
08:59:24- Epoch 2/37, Loss: 15.5328, Accuracy: 0.9248
08:59:26- Epoch 3/37, Loss: 13.7955, Accuracy: 0.9362
08:59:28- Epoch 4/37, Loss: 10.5148, Accuracy: 0.9476
08:59:30- Epoch 5/37, Loss: 10.3907, Accuracy: 0.9507
08:59:32- Epoch 6/37, Loss: 8.5008, Accuracy: 0.9543
08:59:34- Epoch 7/37, Loss: 8.0125, Accuracy: 0.9569
08:59:36- Epoch 8/37, Loss: 7.2676, Accuracy: 0.9579
08:59:38- Epoch 9/37, Loss: 6.1599, Accuracy: 0.9616
08:59:40- Epoch 10/37, Loss: 6.3989, Accuracy: 0.9611
08:59:42- Epoch 11/37, Loss: 6.2557, Accuracy: 0.9624
08:59:44- Epoch 12/37, Loss: 5.5017, Accuracy: 0.9636
08:59:46- Epoch 13/37, Loss: 5.1453, Accuracy: 0.9637
08:59:48- Epoch 14/37, Loss: 5.4921, Accuracy: 0.9628
08:59:50- Epoch 15/37, Loss: 4.8688, Accuracy: 0.9642
08:59:52- Epoch 16/37, Loss: 4.9261, Accuracy: 0.9649
08:59:54- Epoch 17/37, Loss: 3.8566, Accuracy: 0.9667
08:59:56- Epoch 18/37, Loss: 3.8181, Accuracy: 0.9663
08:59:57- Epoch 19/37, Loss: 3.8322, Accuracy: 0.9664
08:59:59- Epoch 20/37, Loss: 3.3428, Accuracy: 0.9664
09:00:02- Epoch 21/37, Loss: 3.1707, Accuracy: 0.9676
09:00:03- Epoch 22/37, Loss: 2.9923, Accuracy: 0.9679
09:00:05- Epoch 23/37, Loss: 2.5196, Accuracy: 0.9682
09:00:07- Epoch 24/37, Loss: 2.3171, Accuracy: 0.9687
09:00:09- Epoch 25/37, Loss: 2.0891, Accuracy: 0.9688
09:00:11- Epoch 26/37, Loss: 2.0770, Accuracy: 0.9689
09:00:13- Epoch 27/37, Loss: 1.8207, Accuracy: 0.9699
09:00:14- Epoch 28/37, Loss: 1.4361, Accuracy: 0.9707
09:00:16- Epoch 29/37, Loss: 1.6254, Accuracy: 0.9704
09:00:18- Epoch 30/37, Loss: 1.5100, Accuracy: 0.9701
09:00:20- Epoch 31/37, Loss: 1.6412, Accuracy: 0.9700
09:00:22- Epoch 32/37, Loss: 1.4982, Accuracy: 0.9704
09:00:24- Epoch 33/37, Loss: 1.1351, Accuracy: 0.9716
09:00:25- Epoch 34/37, Loss: 1.1780, Accuracy: 0.9710
09:00:27- Epoch 35/37, Loss: 0.9172, Accuracy: 0.9728
09:00:29- Epoch 36/37, Loss: 0.8279, Accuracy: 0.9722
09:00:31- Epoch 37/37, Loss: 0.7415, Accuracy: 0.9733
09:00:31- Test Accuracy: 0.9340
09:00:35- Epoch 1/21, Loss: 35.5154, Accuracy: 0.8990
09:00:36- Epoch 2/21, Loss: 2.9543, Accuracy: 0.9318
09:00:38- Epoch 3/21, Loss: 2.6923, Accuracy: 0.9415
09:00:40- Epoch 4/21, Loss: 2.5139, Accuracy: 0.9485
09:00:42- Epoch 5/21, Loss: 2.4466, Accuracy: 0.9511
09:00:44- Epoch 6/21, Loss: 2.1466, Accuracy: 0.9552
09:00:46- Epoch 7/21, Loss: 2.0719, Accuracy: 0.9563
09:00:48- Epoch 8/21, Loss: 2.0141, Accuracy: 0.9580
09:00:50- Epoch 9/21, Loss: 1.9879, Accuracy: 0.9592
09:00:52- Epoch 10/21, Loss: 1.8207, Accuracy: 0.9609
09:00:54- Epoch 11/21, Loss: 1.7792, Accuracy: 0.9624
09:00:56- Epoch 12/21, Loss: 1.8002, Accuracy: 0.9630
09:00:58- Epoch 13/21, Loss: 1.8756, Accuracy: 0.9627
09:01:00- Epoch 14/21, Loss: 1.7242, Accuracy: 0.9642
09:01:02- Epoch 15/21, Loss: 1.7251, Accuracy: 0.9645
09:01:04- Epoch 16/21, Loss: 1.8424, Accuracy: 0.9642
09:01:06- Epoch 17/21, Loss: 1.8390, Accuracy: 0.9654
09:01:08- Epoch 18/21, Loss: 1.6615, Accuracy: 0.9661
09:01:09- Epoch 19/21, Loss: 1.6611, Accuracy: 0.9667
09:01:11- Epoch 20/21, Loss: 1.5354, Accuracy: 0.9671
09:01:13- Epoch 21/21, Loss: 1.6156, Accuracy: 0.9666
09:01:14- Test Accuracy: 0.9960
09:01:17- Epoch 1/28, Loss: 10.4535, Accuracy: 0.8935
09:01:19- Epoch 2/28, Loss: 4.3418, Accuracy: 0.9212
09:01:21- Epoch 3/28, Loss: 3.3333, Accuracy: 0.9372
09:01:23- Epoch 4/28, Loss: 3.5087, Accuracy: 0.9404
09:01:25- Epoch 5/28, Loss: 3.2841, Accuracy: 0.9471
09:01:27- Epoch 6/28, Loss: 2.9875, Accuracy: 0.9498
09:01:29- Epoch 7/28, Loss: 2.7382, Accuracy: 0.9537
09:01:31- Epoch 8/28, Loss: 2.8668, Accuracy: 0.9560
09:01:33- Epoch 9/28, Loss: 2.6289, Accuracy: 0.9574
09:01:35- Epoch 10/28, Loss: 2.5304, Accuracy: 0.9590
09:01:37- Epoch 11/28, Loss: 2.4114, Accuracy: 0.9608
09:01:39- Epoch 12/28, Loss: 2.2536, Accuracy: 0.9611
09:01:41- Epoch 13/28, Loss: 2.3615, Accuracy: 0.9615
09:01:43- Epoch 14/28, Loss: 2.3923, Accuracy: 0.9622
09:01:45- Epoch 15/28, Loss: 1.9233, Accuracy: 0.9646
09:01:47- Epoch 16/28, Loss: 2.3846, Accuracy: 0.9631
09:01:49- Epoch 17/28, Loss: 2.1424, Accuracy: 0.9641
09:01:51- Epoch 18/28, Loss: 2.1704, Accuracy: 0.9638
09:01:53- Epoch 19/28, Loss: 1.9879, Accuracy: 0.9656
09:01:55- Epoch 20/28, Loss: 2.0021, Accuracy: 0.9654
09:01:57- Epoch 21/28, Loss: 1.9631, Accuracy: 0.9656
09:01:59- Epoch 22/28, Loss: 2.0818, Accuracy: 0.9655
09:02:01- Epoch 23/28, Loss: 1.8877, Accuracy: 0.9668
09:02:03- Epoch 24/28, Loss: 1.8915, Accuracy: 0.9670
09:02:05- Epoch 25/28, Loss: 2.0003, Accuracy: 0.9672
09:02:07- Epoch 26/28, Loss: 1.9740, Accuracy: 0.9671
09:02:08- Epoch 27/28, Loss: 1.9015, Accuracy: 0.9676
09:02:10- Epoch 28/28, Loss: 2.1851, Accuracy: 0.9667
09:02:11- Test Accuracy: 0.9968
09:02:14- Epoch 1/43, Loss: 13.6731, Accuracy: 0.9503
09:02:16- Epoch 2/43, Loss: 0.2924, Accuracy: 0.9242
09:02:18- Epoch 3/43, Loss: 0.2954, Accuracy: 0.9215
09:02:20- Epoch 4/43, Loss: 0.4593, Accuracy: 0.9215
09:02:22- Epoch 5/43, Loss: 0.2779, Accuracy: 0.9218
09:02:24- Epoch 6/43, Loss: 0.2754, Accuracy: 0.9218
09:02:26- Epoch 7/43, Loss: 0.3244, Accuracy: 0.9219
09:02:28- Epoch 8/43, Loss: 0.3067, Accuracy: 0.9218
09:02:30- Epoch 9/43, Loss: 0.2746, Accuracy: 0.9218
09:02:32- Epoch 10/43, Loss: 0.2760, Accuracy: 0.9218
09:02:34- Epoch 11/43, Loss: 0.2748, Accuracy: 0.9218
09:02:36- Epoch 12/43, Loss: 0.2765, Accuracy: 0.9218
09:02:38- Epoch 13/43, Loss: 0.2751, Accuracy: 0.9218
09:02:40- Epoch 14/43, Loss: 0.2744, Accuracy: 0.9218
09:02:42- Epoch 15/43, Loss: 0.2791, Accuracy: 0.9218
09:02:44- Epoch 16/43, Loss: 0.2744, Accuracy: 0.9218
09:03:34- Epoch 1/43, Loss: 9.8329, Accuracy: 0.8981
09:03:36- Epoch 2/43, Loss: 7.9092, Accuracy: 0.9247
09:03:38- Epoch 3/43, Loss: 6.4759, Accuracy: 0.9372
09:03:39- Epoch 4/43, Loss: 5.6441, Accuracy: 0.9458
09:03:41- Epoch 5/43, Loss: 5.3426, Accuracy: 0.9497
09:03:43- Epoch 6/43, Loss: 4.9534, Accuracy: 0.9542
09:03:45- Epoch 7/43, Loss: 4.6970, Accuracy: 0.9569
09:03:47- Epoch 8/43, Loss: 4.2964, Accuracy: 0.9578
09:03:49- Epoch 9/43, Loss: 3.9840, Accuracy: 0.9599
09:03:51- Epoch 10/43, Loss: 3.8485, Accuracy: 0.9607
09:03:53- Epoch 11/43, Loss: 3.9933, Accuracy: 0.9620
09:03:55- Epoch 12/43, Loss: 3.4524, Accuracy: 0.9627
09:03:57- Epoch 13/43, Loss: 3.8617, Accuracy: 0.9623
09:03:59- Epoch 14/43, Loss: 3.2176, Accuracy: 0.9651
09:04:01- Epoch 15/43, Loss: 3.4428, Accuracy: 0.9640
09:04:03- Epoch 16/43, Loss: 3.4265, Accuracy: 0.9639
09:04:04- Epoch 17/43, Loss: 3.1862, Accuracy: 0.9647
09:04:06- Epoch 18/43, Loss: 3.5630, Accuracy: 0.9647
09:04:08- Epoch 19/43, Loss: 2.9836, Accuracy: 0.9659
09:04:10- Epoch 20/43, Loss: 2.8671, Accuracy: 0.9659
09:04:12- Epoch 21/43, Loss: 2.8503, Accuracy: 0.9666
09:04:14- Epoch 22/43, Loss: 2.3722, Accuracy: 0.9679
09:04:16- Epoch 23/43, Loss: 2.7433, Accuracy: 0.9673
09:04:18- Epoch 24/43, Loss: 3.1960, Accuracy: 0.9657
09:04:20- Epoch 25/43, Loss: 3.1565, Accuracy: 0.9654
09:04:22- Epoch 26/43, Loss: 2.5371, Accuracy: 0.9673
09:04:24- Epoch 27/43, Loss: 2.3015, Accuracy: 0.9685
09:04:26- Epoch 28/43, Loss: 2.6568, Accuracy: 0.9677
09:04:28- Epoch 29/43, Loss: 2.2199, Accuracy: 0.9694
09:04:30- Epoch 30/43, Loss: 2.3026, Accuracy: 0.9691
09:04:32- Epoch 31/43, Loss: 2.2559, Accuracy: 0.9687
09:04:34- Epoch 32/43, Loss: 2.0166, Accuracy: 0.9698
09:04:36- Epoch 33/43, Loss: 1.9002, Accuracy: 0.9702
09:04:38- Epoch 34/43, Loss: 1.8949, Accuracy: 0.9698
09:04:40- Epoch 35/43, Loss: 1.8857, Accuracy: 0.9690
09:04:42- Epoch 36/43, Loss: 1.5185, Accuracy: 0.9708
09:04:44- Epoch 37/43, Loss: 1.5879, Accuracy: 0.9708
09:04:45- Epoch 38/43, Loss: 1.7028, Accuracy: 0.9711
09:04:47- Epoch 39/43, Loss: 2.0909, Accuracy: 0.9691
09:04:49- Epoch 40/43, Loss: 1.7606, Accuracy: 0.9696
09:04:51- Epoch 41/43, Loss: 1.5492, Accuracy: 0.9704
09:04:53- Epoch 42/43, Loss: 1.7153, Accuracy: 0.9693
09:04:55- Epoch 43/43, Loss: 1.5961, Accuracy: 0.9701
09:04:55- Test Accuracy: 0.9981
09:04:58- Epoch 1/20, Loss: 18.2513, Accuracy: 0.9041
09:05:00- Epoch 2/20, Loss: 10.3457, Accuracy: 0.9349
09:05:02- Epoch 3/20, Loss: 6.4798, Accuracy: 0.9476
09:05:03- Epoch 4/20, Loss: 4.1064, Accuracy: 0.9557
09:05:05- Epoch 5/20, Loss: 2.7011, Accuracy: 0.9593
09:05:07- Epoch 6/20, Loss: 1.7213, Accuracy: 0.9623
09:05:08- Epoch 7/20, Loss: 2.1414, Accuracy: 0.9615
09:05:10- Epoch 8/20, Loss: 2.2952, Accuracy: 0.9628
