21:08:03- Epoch 1/23, Loss: 28.8917, Accuracy: 0.9146
21:08:05- Epoch 2/23, Loss: 19.6181, Accuracy: 0.9371
21:08:07- Epoch 3/23, Loss: 12.9593, Accuracy: 0.9498
21:08:10- Epoch 4/23, Loss: 12.7549, Accuracy: 0.9541
21:08:12- Epoch 5/23, Loss: 9.4092, Accuracy: 0.9589
21:08:14- Epoch 6/23, Loss: 8.2753, Accuracy: 0.9617
21:08:16- Epoch 7/23, Loss: 6.6687, Accuracy: 0.9641
21:08:19- Epoch 8/23, Loss: 6.5482, Accuracy: 0.9655
21:08:21- Epoch 9/23, Loss: 4.9013, Accuracy: 0.9667
21:08:23- Epoch 10/23, Loss: 4.4304, Accuracy: 0.9675
21:08:25- Epoch 11/23, Loss: 4.2865, Accuracy: 0.9678
21:08:28- Epoch 12/23, Loss: 3.0447, Accuracy: 0.9707
21:08:30- Epoch 13/23, Loss: 2.6754, Accuracy: 0.9706
21:08:32- Epoch 14/23, Loss: 1.8497, Accuracy: 0.9722
21:08:35- Epoch 15/23, Loss: 1.8379, Accuracy: 0.9729
21:08:37- Epoch 16/23, Loss: 1.2989, Accuracy: 0.9738
21:08:39- Epoch 17/23, Loss: 1.3708, Accuracy: 0.9734
21:08:42- Epoch 18/23, Loss: 0.9100, Accuracy: 0.9757
21:08:44- Epoch 19/23, Loss: 0.9709, Accuracy: 0.9747
21:08:46- Epoch 20/23, Loss: 0.5785, Accuracy: 0.9776
21:08:49- Epoch 21/23, Loss: 0.3535, Accuracy: 0.9784
21:08:51- Epoch 22/23, Loss: 0.3415, Accuracy: 0.9782
21:08:53- Epoch 23/23, Loss: 0.2505, Accuracy: 0.9799
21:08:54- Test Accuracy: 0.9992
21:08:58- Epoch 1/30, Loss: 7.4891, Accuracy: 0.9874
21:09:00- Epoch 2/30, Loss: 6.4495, Accuracy: 0.9879
21:09:02- Epoch 3/30, Loss: 6.0646, Accuracy: 0.9884
21:09:04- Epoch 4/30, Loss: 4.8230, Accuracy: 0.9890
21:09:06- Epoch 5/30, Loss: 4.6190, Accuracy: 0.9893
21:09:09- Epoch 6/30, Loss: 4.0596, Accuracy: 0.9900
21:09:11- Epoch 7/30, Loss: 3.5849, Accuracy: 0.9901
21:09:13- Epoch 8/30, Loss: 3.7420, Accuracy: 0.9905
21:09:15- Epoch 9/30, Loss: 2.9248, Accuracy: 0.9913
21:09:17- Epoch 10/30, Loss: 3.2075, Accuracy: 0.9912
21:09:19- Epoch 11/30, Loss: 2.9465, Accuracy: 0.9915
21:09:21- Epoch 12/30, Loss: 3.3230, Accuracy: 0.9917
21:09:23- Epoch 13/30, Loss: 2.3128, Accuracy: 0.9922
21:09:26- Epoch 14/30, Loss: 2.8596, Accuracy: 0.9924
21:09:28- Epoch 15/30, Loss: 2.7375, Accuracy: 0.9924
21:09:30- Epoch 16/30, Loss: 2.2096, Accuracy: 0.9927
21:09:32- Epoch 17/30, Loss: 2.1929, Accuracy: 0.9930
21:09:34- Epoch 18/30, Loss: 2.5937, Accuracy: 0.9926
21:09:36- Epoch 19/30, Loss: 2.0095, Accuracy: 0.9932
21:09:39- Epoch 20/30, Loss: 2.4456, Accuracy: 0.9929
21:09:41- Epoch 21/30, Loss: 1.9132, Accuracy: 0.9937
21:09:43- Epoch 22/30, Loss: 2.2297, Accuracy: 0.9934
21:09:45- Epoch 23/30, Loss: 1.6998, Accuracy: 0.9937
21:09:47- Epoch 24/30, Loss: 2.2589, Accuracy: 0.9933
21:09:49- Epoch 25/30, Loss: 1.9448, Accuracy: 0.9939
21:09:51- Epoch 26/30, Loss: 1.9496, Accuracy: 0.9938
21:09:54- Epoch 27/30, Loss: 1.6778, Accuracy: 0.9941
21:09:56- Epoch 28/30, Loss: 1.4764, Accuracy: 0.9941
21:09:58- Epoch 29/30, Loss: 1.7809, Accuracy: 0.9941
21:09:59- Epoch 30/30, Loss: 1.4686, Accuracy: 0.9943
21:10:00- Test Accuracy: 0.9983
21:10:03- Epoch 1/14, Loss: 9.0070, Accuracy: 0.8745
21:10:05- Epoch 2/14, Loss: 6.5672, Accuracy: 0.9135
21:10:07- Epoch 3/14, Loss: 5.9489, Accuracy: 0.9269
21:10:09- Epoch 4/14, Loss: 4.7168, Accuracy: 0.9385
21:10:11- Epoch 5/14, Loss: 4.7812, Accuracy: 0.9418
21:10:13- Epoch 6/14, Loss: 4.1429, Accuracy: 0.9469
21:10:15- Epoch 7/14, Loss: 3.7433, Accuracy: 0.9502
21:10:17- Epoch 8/14, Loss: 3.8905, Accuracy: 0.9503
21:10:19- Epoch 9/14, Loss: 3.2180, Accuracy: 0.9544
21:10:21- Epoch 10/14, Loss: 3.4113, Accuracy: 0.9540
21:10:23- Epoch 11/14, Loss: 3.0149, Accuracy: 0.9566
21:10:25- Epoch 12/14, Loss: 3.0843, Accuracy: 0.9556
21:10:27- Epoch 13/14, Loss: 2.8348, Accuracy: 0.9561
21:10:29- Epoch 14/14, Loss: 2.7406, Accuracy: 0.9583
21:10:29- Test Accuracy: 0.9834
21:10:33- Epoch 1/17, Loss: 20.4684, Accuracy: 0.8654
21:10:35- Epoch 2/17, Loss: 12.1996, Accuracy: 0.9068
21:10:37- Epoch 3/17, Loss: 10.1302, Accuracy: 0.9255
21:10:39- Epoch 4/17, Loss: 7.9508, Accuracy: 0.9362
21:10:41- Epoch 5/17, Loss: 8.2053, Accuracy: 0.9396
21:10:43- Epoch 6/17, Loss: 7.1648, Accuracy: 0.9438
21:10:45- Epoch 7/17, Loss: 5.9313, Accuracy: 0.9478
21:10:47- Epoch 8/17, Loss: 5.5441, Accuracy: 0.9488
21:10:49- Epoch 9/17, Loss: 5.7133, Accuracy: 0.9483
21:10:51- Epoch 10/17, Loss: 4.9560, Accuracy: 0.9510
21:10:53- Epoch 11/17, Loss: 4.5328, Accuracy: 0.9520
21:10:55- Epoch 12/17, Loss: 4.4537, Accuracy: 0.9513
21:10:57- Epoch 13/17, Loss: 4.2302, Accuracy: 0.9533
21:10:59- Epoch 14/17, Loss: 3.7711, Accuracy: 0.9551
21:11:01- Epoch 15/17, Loss: 3.5250, Accuracy: 0.9554
21:11:03- Epoch 16/17, Loss: 2.9471, Accuracy: 0.9569
21:11:05- Epoch 17/17, Loss: 3.2217, Accuracy: 0.9563
21:11:05- Test Accuracy: 0.9976
21:11:08- Epoch 1/37, Loss: 21.5871, Accuracy: 0.9770
21:11:10- Epoch 2/37, Loss: 0.1542, Accuracy: 0.9714
21:11:12- Epoch 3/37, Loss: 0.1793, Accuracy: 0.9688
21:11:14- Epoch 4/37, Loss: 0.2778, Accuracy: 0.9685
21:11:16- Epoch 5/37, Loss: 0.1585, Accuracy: 0.9700
21:11:18- Epoch 6/37, Loss: 0.1550, Accuracy: 0.9704
21:11:20- Epoch 7/37, Loss: 0.1390, Accuracy: 0.9703
21:11:21- Epoch 8/37, Loss: 0.1445, Accuracy: 0.9704
21:11:23- Epoch 9/37, Loss: 0.1403, Accuracy: 0.9704
21:11:25- Epoch 10/37, Loss: 0.2803, Accuracy: 0.9703
21:11:27- Epoch 11/37, Loss: 0.1417, Accuracy: 0.9704
21:11:29- Epoch 12/37, Loss: 0.1540, Accuracy: 0.9703
21:11:32- Epoch 13/37, Loss: 0.1382, Accuracy: 0.9704
21:11:33- Epoch 14/37, Loss: 0.1485, Accuracy: 0.9704
21:11:36- Epoch 15/37, Loss: 0.1351, Accuracy: 0.9704
21:11:38- Epoch 16/37, Loss: 0.1827, Accuracy: 0.9704
21:11:40- Epoch 17/37, Loss: 0.1484, Accuracy: 0.9704
21:12:16- Epoch 1/25, Loss: 62.5162, Accuracy: 0.8665
21:12:18- Epoch 2/25, Loss: 2.5536, Accuracy: 0.9401
21:12:20- Epoch 3/25, Loss: 0.2538, Accuracy: 0.9327
21:12:22- Epoch 4/25, Loss: 0.4688, Accuracy: 0.8789
21:12:25- Epoch 5/25, Loss: 0.4229, Accuracy: 0.8735
21:12:27- Epoch 6/25, Loss: 0.3736, Accuracy: 0.8788
21:12:29- Epoch 7/25, Loss: 0.3818, Accuracy: 0.8782
21:12:31- Epoch 8/25, Loss: 0.3825, Accuracy: 0.8782
21:12:33- Epoch 9/25, Loss: 0.3788, Accuracy: 0.8787
21:12:35- Epoch 10/25, Loss: 0.4351, Accuracy: 0.8793
21:12:38- Epoch 11/25, Loss: 0.3778, Accuracy: 0.8779
21:12:40- Epoch 12/25, Loss: 0.4023, Accuracy: 0.8785
21:12:42- Epoch 13/25, Loss: 0.3711, Accuracy: 0.8781
21:12:45- Epoch 14/25, Loss: 0.3821, Accuracy: 0.8764
21:12:47- Epoch 15/25, Loss: 0.3870, Accuracy: 0.8787
21:12:50- Epoch 16/25, Loss: 0.3832, Accuracy: 0.8772
21:12:52- Epoch 17/25, Loss: 0.3700, Accuracy: 0.8801
21:12:55- Epoch 18/25, Loss: 0.3845, Accuracy: 0.8784
21:12:57- Epoch 19/25, Loss: 0.3699, Accuracy: 0.8842
21:13:00- Epoch 20/25, Loss: 0.3776, Accuracy: 0.8802
21:13:02- Epoch 21/25, Loss: 0.3695, Accuracy: 0.8784
21:13:04- Epoch 22/25, Loss: 0.3873, Accuracy: 0.8768
21:13:07- Epoch 23/25, Loss: 0.3822, Accuracy: 0.8778
21:13:09- Epoch 24/25, Loss: 0.3753, Accuracy: 0.8783
21:13:12- Epoch 25/25, Loss: 0.3835, Accuracy: 0.8780
21:13:12- Test Accuracy: 0.9983
21:13:16- Epoch 1/25, Loss: 1.0868, Accuracy: 0.8976
21:13:18- Epoch 2/25, Loss: 0.7381, Accuracy: 0.9317
21:13:20- Epoch 3/25, Loss: 0.6368, Accuracy: 0.9443
21:13:22- Epoch 4/25, Loss: 0.6756, Accuracy: 0.9459
21:13:25- Epoch 5/25, Loss: 0.6583, Accuracy: 0.9490
